pincode,city,latitude,longitude,state
500036,Hyderabad,17.37751,78.514847,
396510,Surat,20.8306000,73.2469100,
394140,Surat,21.3230399,73.0796265,
394305,Surat,21.1291938,73.0338922,
394310,Surat,21.0834125,72.9873844,
394310,Surat,21.1204736,73.0310158,
394163,Surat,21.2997500,73.2312000,
394163,Surat,21.2997500,73.2312000,
394163,Surat,21.1885440,72.8136440,
394163,Surat,21.2997500,73.2312000,
394163,Surat,21.2997500,73.2312000,
394335,Surat,21.2541757,73.3022132,
394335,Surat,21.2179000,73.2278500,
394335,Surat,21.2541727,73.3022162,
394180,Surat,21.2702540,72.9624530,
394240,Surat,20.9712049,73.1601787,
394340,Surat,21.1950120,72.8194320,
394250,Surat,21.0227500,73.1432000,
394160,Surat,21.3960600,73.8076200,
394160,Surat,21.3960600,73.8076200,
394160,Surat,21.3105930,73.3232976,
394160,Surat,21.2541737,73.3022152,
394330,Surat,21.2702530,72.9624540,
394315,Surat,21.0753271,73.0182462,
394350,Surat,21.0195552,73.0576467,
394350,Surat,21.0616610,73.0646980,
394350,Surat,21.0032153,73.1100534,
394246,Surat,21.0885200,73.4487300,
394246,Surat,21.0209250,73.1365760,
394248,Surat,20.9189000,73.2244500,
394248,Surat,20.9325325,73.2291868,
394620,Surat,21.1104560,73.1674130,
394355,Surat,21.1653363,73.1060234,
394185,Surat,21.1838930,72.9301757,
393105,Vadodara,21.8779970,73.2300920,
392220,Vadodara,22.3071590,73.1812190,
392220,Vadodara,21.9281460,73.0233300,
394550,Surat,21.1703690,72.7892430,
394530,Surat,21.388163,72.676695,
394517,Surat,21.1963550,72.6594650,
394517,Surat,21.1872430,72.6618390,
394540,Surat,21.3967230,72.7488760,
394540,Surat,21.2749770,72.7082380,
394540,Surat,21.4244780,72.7318830,
394540,Surat,21.3075750,72.7304050,
394540,Surat,21.1266905,72.8304949,
395005,Surat,21.5688420,72.7747330,
395005,Surat,21.2818310,72.6638990,
395005,Surat,21.2571020,72.6890260,
394520,Surat,21.2608117,72.8205242,
394125,Surat,21.1377190,72.7599570,
394125,Surat,21.4037000,72.9051000,
395004,Surat,21.2314410,72.8159570,
394110,Surat,21.4227570,72.8696400,
394112,Surat,21.3902240,73.1644630,
394112,Surat,20.9774520,73.1084050,
394421,Surat,21.4812590,73.1792120,
394410,Surat,21.4861090,73.1143070,
394130,Surat,21.3570120,72.8615170,
394130,Surat,22.5018950,72.8958530,
394130,Surat,21.1643920,72.6172990,
394210,Surat,21.1336310,72.8175750,
394210,Surat,21.1250240,72.8467050,
394445,Surat,21.4382400,73.5358500,
394445,Surat,21.1906220,72.8902630,
394445,Surat,21.4745320,73.6430080,
394430,Surat,23.0190810,23.0190810,
395013,Surat,21.2027253,72.9189284,
